Reference, Value, Footprint, Datasheet
R8,1M,Resistors_SMD:R_0805_HandSoldering,
R9,47k,Resistors_SMD:R_0805_HandSoldering,
RV1,100k,Potentiometers:Potentiometer_WirePads,
C1,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C9,0.1u,Capacitors_SMD:C_0805_HandSoldering,
R5,10k,Resistors_SMD:R_0805_HandSoldering,
R4,1k,Resistors_SMD:R_0805_HandSoldering,
R3,47k,Resistors_SMD:R_0805_HandSoldering,
C5,4.7u,Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.00mm,
R7,1k,Resistors_SMD:R_0805_HandSoldering,
C14,0.1u,Capacitors_SMD:C_0805_HandSoldering,
SW2,LAT/MOM,switches:SPDT_switch,
RV2,100k,pots:alpha_RV141F,
R14,10k,Resistors_SMD:R_0805_HandSoldering,
R17,10k,Resistors_SMD:R_0805_HandSoldering,
R19,10k,Resistors_SMD:R_0805_HandSoldering,
R24,10k,Resistors_SMD:R_0805_HandSoldering,
SW3,Switch_SPDT_x2,switches:DPDT_switch,
C2,0.33u,Capacitors_SMD:C_0805_HandSoldering,
C3,0.1u,Capacitors_SMD:C_0805_HandSoldering,
P3,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
C10,10u,Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.00mm,
C6,10u,Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.00mm,
C11,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C7,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C8,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C12,0.1u,Capacitors_SMD:C_0805_HandSoldering,
D1,D_Schottky,Diodes_ThroughHole:D_DO-41_SOD81_P7.62mm_Horizontal,
D2,LED,LEDs:LED_D5.0mm,
R21,1k,Resistors_SMD:R_0805_HandSoldering,
U5,TC7WH74,Housings_SSOP:SSOP-8_2.95x2.8mm_Pitch0.65mm,
C15,4.7u,Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.00mm,
R6,10k,Resistors_SMD:R_0805_HandSoldering,
R20,10k,Resistors_SMD:R_0805_HandSoldering,
R15,10k,Resistors_SMD:R_0805_HandSoldering,
R16,47k,Resistors_SMD:R_0805_HandSoldering,
C19,4.7u,Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.00mm,
R11,1M,Resistors_SMD:R_0805_HandSoldering,
C17,1u,Capacitors_SMD:C_0805_HandSoldering,
R12,100k,Resistors_SMD:R_0805_HandSoldering,
Q1,Q_NMOS_SGD,TO_SOT_Packages_THT:TO-92_Molded_Narrow,
R23,1k,Resistors_SMD:R_0805_HandSoldering,
U7,4052,Housings_SOIC:SOIC-16W_5.3x10.2mm_Pitch1.27mm,
P1,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
J1,JACK_TRS_6PINS,jacks:NYS215,
J2,JACK_TRS_6PINS,jacks:NYS215,
Q2,Q_NMOS_SGD,TO_SOT_Packages_THT:TO-92_Molded_Narrow,
D3,LED,LEDs:LED_D3.0mm,
R22,2k,Resistors_SMD:R_0805_HandSoldering,
U3,MAPU01-D,mau100:MAU100,
SW1,Switch_SPDT_x2,switches:alpha-push_DPDT,
C13,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C16,0.1u,Capacitors_SMD:C_0805_HandSoldering,
R1,1M,Resistors_SMD:R_0805_HandSoldering,
R2,47k,Resistors_SMD:R_0805_HandSoldering,
C4,4.7u,Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.00mm,
P2,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
R10,47k,Resistors_SMD:R_0805_HandSoldering,
U2,TL072,Housings_DIP:DIP-8_W7.62mm_Socket,
U6,TL072,JRC:DMP8,
U4,TL072,JRC:DMP8,
C18,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C20,0.1u,Capacitors_SMD:C_0805_HandSoldering,
U1,LM7805CT,Power_Integrations:TO-220,
J3,JACK_TRS_6PINS,jacks:NYS215,
